context,mutable_observational_context,cohort,pair_id,trait_a,trait_b,aligned_variants,null_z_correlation,null_variants,family_p_threshold,genomewide_variants,genomewide_loci,coherent_loci,zero_correlation_loci,both_nominal_loci
ever_smoking,True,BBJ,phenylalanine_tyrosine,Phe,Tyr,1009402,0.33948903923009344,830132,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,UKB,alanine_glutamine,Ala,Gln,1478311,0.1236188998479249,1201043,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,UKB,alanine_glycine,Ala,Gly,1478322,0.08103881706190677,1202024,1.3888888888888888e-09,2,1,1,1,0
ever_smoking,True,UKB,alanine_pyruvate,Ala,Pyruvate,1478329,0.1528983334161964,1201429,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,UKB,lactate_pyruvate,Lactate,Pyruvate,1478330,0.38730695070677107,1221204,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,UKB,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1478251,0.4790875745195811,1231646,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,UKB,phenylalanine_tyrosine,Phe,Tyr,1478340,0.36734851622071657,1216404,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,BBJ,alanine_glutamine,Ala,Gln,1009387,0.18596764923612824,821460,1.3888888888888888e-09,9,2,0,1,0
current_smoking,True,BBJ,alanine_glycine,Ala,Gly,1009390,0.1626238298686382,817010,1.3888888888888888e-09,39,1,1,1,0
current_smoking,True,BBJ,alanine_pyruvate,Ala,Pyruvate,1009363,0.28077733673972066,825261,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,BBJ,lactate_pyruvate,Lactate,Pyruvate,1009363,0.2566483139658869,824005,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,BBJ,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1008579,0.25601514315257407,827050,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,BBJ,phenylalanine_tyrosine,Phe,Tyr,1009364,0.33570479942977843,829448,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,UKB,alanine_glutamine,Ala,Gln,1478311,0.119975229875456,1199842,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,UKB,alanine_glycine,Ala,Gly,1478322,0.08993623234688686,1198592,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,UKB,alanine_pyruvate,Ala,Pyruvate,1478329,0.1673081980448257,1201028,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,UKB,lactate_pyruvate,Lactate,Pyruvate,1478330,0.4029776258596057,1221818,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,UKB,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1478251,0.5065854251335452,1234654,1.3888888888888888e-09,0,0,0,0,0
current_smoking,True,UKB,phenylalanine_tyrosine,Phe,Tyr,1478340,0.3743817241136485,1220276,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,BBJ,alanine_glutamine,Ala,Gln,1009372,0.1911137276639603,825841,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,BBJ,alanine_glycine,Ala,Gly,1009385,0.15703928001386755,822107,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,BBJ,alanine_pyruvate,Ala,Pyruvate,1009354,0.27525430365537473,829200,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,BBJ,lactate_pyruvate,Lactate,Pyruvate,1009342,0.23763384909673563,826485,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,BBJ,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1008518,0.28560878096422715,826145,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,BBJ,phenylalanine_tyrosine,Phe,Tyr,1009350,0.3276618899658368,828261,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,UKB,alanine_glutamine,Ala,Gln,1478312,0.122463846354982,1203316,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,UKB,alanine_glycine,Ala,Gly,1478323,0.09043069774344226,1201808,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,UKB,alanine_pyruvate,Ala,Pyruvate,1478335,0.16649287988507466,1203841,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,UKB,lactate_pyruvate,Lactate,Pyruvate,1478331,0.388761553296024,1221266,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,UKB,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1478245,0.4664014890954258,1232294,1.3888888888888888e-09,0,0,0,0,0
physical_activity,True,UKB,phenylalanine_tyrosine,Phe,Tyr,1478337,0.36758914759303946,1222416,1.3888888888888888e-09,0,0,0,0,0
